id,source,target,relationship_type
rel_000101,Abstraction,Loose Coupling,RELATES_TO
rel_000102,Abstraction,Maintainability,RELATES_TO
rel_000103,Abstraction,Object-Oriented Design,RELATES_TO
rel_000104,Abstraction,Performance,DEPENDS_ON
rel_000105,Abstraction,Procedural Abstraction,RELATES_TO
rel_000106,Abstraction,Structural Perspective,RELATES_TO
rel_000107,Abstraction Layer,Leaf Interface,CONTAINS
rel_000108,Abstraction Layer Architecture,Open MPI (OMPI),CONTAINS
rel_000109,Abstraction Layer Architecture,Open MPI Run-Time Environment (ORTE),CONTAINS
rel_000110,Abstraction Layer Architecture,Open Portable Access Layer (OPAL),CONTAINS
rel_000111,Abstraction Principle,Encapsulation Principle,RELATES_TO
rel_000112,Abstraction and Information Hiding,Extensibility,RELATES_TO
rel_000113,Abstraction and Information Hiding,Maintainability,RELATES_TO
rel_000114,Abstractness,A vs I Graph,PART_OF
rel_000115,Abstractness,Instability,RELATES_TO
rel_000116,Abstractness,Structured Design,RELATES_TO
rel_000117,Accept Method,ExpressionVisitor,DEPENDS_ON
rel_000118,Acceptance Test,Component,DEPENDS_ON
rel_000119,Acceptance Test Driven Development,Test Driven Development,RELATES_TO
rel_000120,Acceptance Testing,Maintainability,RELATES_TO
rel_000121,Acceptance Testing,Performance,RELATES_TO
rel_000122,Acceptance Testing,Reliability,RELATES_TO
rel_000123,Acceptance Testing,Scalability,RELATES_TO
rel_000124,Acceptance Testing,Security,RELATES_TO
rel_000125,Acceptance Testing,User Story,RELATES_TO
rel_000126,Access Control,Multi-tenancy,DEPENDS_ON
rel_000127,Access Control System,Privileged Users,CONTAINS
rel_000128,Access Limitation,Demilitarized Zone (DMZ),PART_OF
rel_000129,Access Logging,Log Analysis for Unusual Activity,DEPENDS_ON
rel_000130,Access Rights Management,Emergency Mode,CONTAINS
rel_000131,Access control,Service-oriented architecture,DEPENDS_ON
rel_000132,Access-Method-Agnostic API,Btree Access Method,DEPENDS_ON
rel_000133,Access-Method-Agnostic API,Hash Library,DEPENDS_ON
rel_000134,AccessService,Role,DEPENDS_ON
rel_000135,AccessService,User,DEPENDS_ON
rel_000136,AccessService,assignUserToRole,CONTAINS
rel_000137,Accidental Complexity,Essential Complexity,RELATES_TO
rel_000138,Account,CustomerHandler,DEPENDS_ON
rel_000139,AccountService Class,Testability,DEPENDS_ON
rel_000140,Accurate Garbage Collection (GC),Concurrency,RELATES_TO
rel_000141,Action Bar,User Interface Consistency,IMPLEMENTS
rel_000142,ActionListener,JT extField,IMPLEMENTS
rel_000143,Active Class,Node,DEPENDS_ON
rel_000144,Active Design,Risk-Driven Approach,RELATES_TO
rel_000145,Active Redundancy,Availability,RELATES_TO
rel_000146,Active Reviews for Intermediate Designs (ARID),Security,RELATES_TO
rel_000147,Active/Hot Spare,Passive/Warm Spare,RELATES_TO
rel_000148,Activity Diagram,Sequence Diagram,RELATES_TO
rel_000149,Activity Diagram,Swimlane,CONTAINS
rel_000150,Activity Diagrams,Use Cases,RELATES_TO
rel_000151,Activity Module,Plugin,PART_OF
rel_000152,Actor,Use Case,PART_OF
rel_000153,Actor Authentication,Performance,DEPENDS_ON
rel_000154,Actor/Actions Approach,Component Design,IMPLEMENTS
rel_000155,Acyclic Dependencies Principle,Clean Architecture,RELATES_TO
rel_000156,Acyclic Dependencies Principle (ADP),Cohesion and Coupling Principles,DEPENDS_ON
rel_000157,Acyclic Dependency Graph,Maintainability,RELATES_TO
rel_000158,Acyclic Dependency Graph,Scalability,RELATES_TO
rel_000159,Adapter,Abstract Factory,RELATES_TO
rel_000160,Adapter,Abstract Server,DEPENDS_ON
rel_000161,Adapter,Adaptee,DEPENDS_ON
rel_000162,Adapter,Composite,RELATES_TO
rel_000163,Adapter,Decorator,RELATES_TO
rel_000164,Adapter,Facade,DEPENDS_ON
rel_000165,Adapter,Observer,RELATES_TO
rel_000166,Adapter,Proxy,RELATES_TO
rel_000167,Adapter,Target,IMPLEMENTS
rel_000168,Adapter Pattern,Class Adapter,CONTAINS
rel_000169,Adapter Pattern,Class Adapter,IMPLEMENTS
rel_000170,Adapter Pattern,Composite Pattern,RELATES_TO
rel_000171,Adapter Pattern,Controller Pattern,RELATES_TO
rel_000172,Adapter Pattern,Decorator Pattern,RELATES_TO
rel_000173,Adapter Pattern,Design Class Diagram,DEPENDS_ON
rel_000174,Adapter Pattern,Domain Model,IMPLEMENTS
rel_000175,Adapter Pattern,Enumeration Interface,RELATES_TO
rel_000176,Adapter Pattern,EnumerationIterator,CONTAINS
rel_000177,Adapter Pattern,Facade Pattern,RELATES_TO
rel_000178,Adapter Pattern,Object Adapter,CONTAINS
rel_000179,Adapter Pattern,Object Adapter,IMPLEMENTS
rel_000180,Adapter Pattern,Proxy Pattern,RELATES_TO
rel_000181,Adapter Pattern,Structural Patterns,RELATES_TO
rel_000182,Adaptive Compilation,IronPython,IMPLEMENTS
rel_000183,Adaptive Compilation,IronRuby,IMPLEMENTS
rel_000184,Adaptive Maintenance,Maintainability,RELATES_TO
rel_000185,Adaptor,Sensor,RELATES_TO
rel_000186,Adaptor Component,Requires Interface,IMPLEMENTS
rel_000187,Adaptor Component,Sensor Data Interface,DEPENDS_ON
rel_000188,Adaptor Component,Sensor Management Interface,DEPENDS_ON
rel_000189,Adaptor Component,Sequential Composition,IMPLEMENTS
rel_000190,Adaptor Services,Architectural Migration,RELATES_TO
rel_000191,Add Category Request,Category Frame,RELATES_TO
rel_000192,AddOrder,User,RELATES_TO
rel_000193,Admin Domain,Flatten Components Pattern,IMPLEMENTS
rel_000194,Administrative Interface,Module,DEPENDS_ON
rel_000195,Administrative Reporting,Patient Record Management System,PART_OF
rel_000196,Administrative Scripts,Cloud-native Application,PART_OF
rel_000197,Advanced C++ Programming Styles and Idioms,Object-Oriented Design,RELATES_TO
rel_000198,AdvancedComputerPartsFactory,ComputerPartsFactory,IMPLEMENTS
rel_000199,AdvancedComputerStore,ComputerStore,IMPLEMENTS
rel_000200,AdvancedStoreProductIterator,Iterator Design Pattern,IMPLEMENTS
rel_000201,Advisor Class,Advisor Interface,IMPLEMENTS
rel_000202,AerialCharacter,EnemyCharacter,IMPLEMENTS
rel_000203,AerialEnemyCharacter,Character,PART_OF
rel_000204,AerialEnemyCharacter,Prototype Design Pattern,IMPLEMENTS
rel_000205,Afferent Coupling,Coupling,RELATES_TO
rel_000206,Afferent Coupling,Efferent Coupling,RELATES_TO
rel_000207,Affordance,Feedback,RELATES_TO
rel_000208,Agent,Knowledge Source,PART_OF
rel_000209,Agent,Listing,RELATES_TO
rel_000210,Aggregate,Aggregate Root,CONTAINS
rel_000211,Aggregate,BacklogItem,CONTAINS
rel_000212,Aggregate,BacklogItem,PART_OF
rel_000213,Aggregate,Bounded Context,PART_OF
rel_000214,Aggregate,Bounded Context,RELATES_TO
rel_000215,Aggregate,Consistency Rule,IMPLEMENTS
rel_000216,Aggregate,Domain Event,CONTAINS
rel_000217,Aggregate,Domain Event,RELATES_TO
rel_000218,Aggregate,Domain Service,DEPENDS_ON
rel_000219,Aggregate,Entity,CONTAINS
rel_000220,Aggregate,Entity,RELATES_TO
rel_000221,Aggregate,Event Sourcing,IMPLEMENTS
rel_000222,Aggregate,Event Sourcing,RELATES_TO
rel_000223,Aggregate,Event Store,CONTAINS
rel_000224,Aggregate,Event Store,PART_OF
rel_000225,Aggregate,Event Stream,CONTAINS
rel_000226,Aggregate,Event Stream,RELATES_TO
rel_000227,Aggregate,Eventual Consistency,DEPENDS_ON
rel_000228,Aggregate,Eventual Consistency,RELATES_TO
rel_000229,Aggregate,Executive Component,RELATES_TO
rel_000230,Aggregate,Factory,IMPLEMENTS
rel_000231,Aggregate,Friend Class,CONTAINS
rel_000232,Aggregate,GroupMember,CONTAINS
rel_000233,Aggregate,Invariant,DEPENDS_ON
rel_000234,Aggregate,Invariant,RELATES_TO
rel_000235,Aggregate,Invariants,CONTAINS
rel_000236,Aggregate,Invariants,DEPENDS_ON
rel_000237,Aggregate,Iterator,RELATES_TO
rel_000238,Aggregate,Mediator,DEPENDS_ON
rel_000239,Aggregate,Observer,RELATES_TO
rel_000240,Aggregate,Performance,DEPENDS_ON
rel_000241,Aggregate,Process State Tracker,IMPLEMENTS
rel_000242,Aggregate,ProductId,CONTAINS
rel_000243,Aggregate,Repository,DEPENDS_ON
rel_000244,Aggregate,Repository,PART_OF
rel_000245,Aggregate,Root Entity,CONTAINS
rel_000246,Aggregate,Root Entity,PART_OF
rel_000247,Aggregate,Scalability,DEPENDS_ON
rel_000248,Aggregate,Session,PART_OF
rel_000249,Aggregate,Snapshot,RELATES_TO
rel_000250,Aggregate,Soft Deletion,IMPLEMENTS
rel_000251,Aggregate,Soft Deletions,IMPLEMENTS
rel_000252,Aggregate,Sprint,CONTAINS
rel_000253,Aggregate,Sprint,PART_OF
rel_000254,Aggregate,Transactional Consistency,IMPLEMENTS
rel_000255,Aggregate,Ubiquitous Language,PART_OF
rel_000256,Aggregate,Ubiquitous Language,RELATES_TO
rel_000257,Aggregate,User Interface View Component,DEPENDS_ON
rel_000258,Aggregate,User Model,PART_OF
rel_000259,Aggregate,Value Object,CONTAINS
rel_000260,Aggregate,Value Object,RELATES_TO
rel_000261,Aggregate Interface,ConcreteAggregate,IMPLEMENTS
rel_000262,Aggregate Interface,StoreProductIterator Interface,CONTAINS
rel_000263,Aggregate Pattern,Repository Pattern,RELATES_TO
rel_000264,Aggregate Repository,Eclipse 4 Application Platform,PART_OF
rel_000265,Aggregate Root Entity,Aggregate,PART_OF
rel_000266,Aggregation,Composition,DEPENDS_ON
rel_000267,Aggregation,Inheritance,RELATES_TO
rel_000268,Aggregation Relationship,Drawing,PART_OF
rel_000269,Agile,DevOps,RELATES_TO
rel_000270,Agile Approach,Object-Oriented Design,RELATES_TO
rel_000271,Agile Development,Incremental Development,RELATES_TO
rel_000272,Agile Development,Maintainability,RELATES_TO
rel_000273,Agile Development,Modular Design,RELATES_TO
rel_000274,Agile Development,Performance,RELATES_TO
rel_000275,Agile Development Model,Dynamic Language Runtime (DLR),PART_OF
rel_000276,Agile Methodologies,Distributed Development,RELATES_TO
rel_000277,Agile Methodologies,User Acceptance Testing (UAT),PART_OF
rel_000278,Agile Methodology,Estimation Techniques,DEPENDS_ON
rel_000279,Agile Methodology,Microservices,RELATES_TO
rel_000280,Agile Methodology,Waterfall Methodology,RELATES_TO
rel_000281,Agile Methods,Refactoring,CONTAINS
rel_000282,Agile Methods,Satisficing,DEPENDS_ON
rel_000283,Agile Project Framework,Core Domain,CONTAINS
rel_000284,Agile Project Management Context,Collaboration Context,DEPENDS_ON
rel_000285,Agile Project Management Context,Collaboration Context,RELATES_TO
rel_000286,Agile Project Management Context,Core Domain,PART_OF
rel_000287,Agile Project Management Context,Domain Events,RELATES_TO
rel_000288,Agile Strategy,Service-Oriented Architecture (SOA),IMPLEMENTS
rel_000289,Agile Unified Process,Extreme Programming,PART_OF
rel_000290,Agile Unified Process,Scrum,PART_OF
rel_000291,Agility,Deployability,RELATES_TO
rel_000292,Agility,Maintainability,RELATES_TO
rel_000293,Agility,Modularity,RELATES_TO
rel_000294,Agility,Speed-to-Market,RELATES_TO
rel_000295,Agility,Testability,RELATES_TO
rel_000296,Agnostic High-Level Policy,Dependency Injection Framework,RELATES_TO
rel_000297,Agnostic High-Level Policy,Microservices Architecture,RELATES_TO
rel_000298,Algebraic Specifications,Formal Specification,PART_OF
rel_000299,Algorithm,Heuristic,RELATES_TO
rel_000300,Algorithm Decomposition,Maintainability,RELATES_TO
rel_000301,Algorithm Selection,Performance,RELATES_TO
rel_000302,Allowed to Use Relation,Layered Architecture,PART_OF
rel_000303,AlternatingDinerMenuIterator,Iterator,IMPLEMENTS
rel_000304,AlternationExpression,match operation,CONTAINS
rel_000305,AlternationExpression,match: operation,CONTAINS
rel_000306,Ambulance Pattern,Diagnostics Engine Interface,IMPLEMENTS
rel_000307,AmericanCitizenTaxHandler,AmericanLawyer,DEPENDS_ON
rel_000308,AmericanCitizenTaxHandler,AmericanProfessor,DEPENDS_ON
rel_000309,AmericanCitizenTaxHandler,Performance,DEPENDS_ON
rel_000310,AmericanTaxPayer,AmericanLawyer,IMPLEMENTS
rel_000311,AmericanTaxPayer,AmericanProfessor,IMPLEMENTS
rel_000312,Amplifier,Facade Pattern,PART_OF
rel_000313,Analogic Model,Modeling,PART_OF
rel_000314,Analysis Class Diagram,Controller Class,CONTAINS
rel_000315,Analysis Class Diagram,Entity Class,CONTAINS
rel_000316,AndExp,BooleanExp,IMPLEMENTS
rel_000317,AndExp,VariableExp,DEPENDS_ON
rel_000318,Anemic Domain Model,Active Record,DEPENDS_ON
rel_000319,Anemic Domain Model,Hibernate,DEPENDS_ON
rel_000320,Anemic Domain Model,Transaction Script,DEPENDS_ON
rel_000321,Anemic Domain Model,Transaction Script,PART_OF
rel_000322,Anemic Domain Model,Ubiquitous Language,RELATES_TO
rel_000323,Anti-Pattern,Refactoring,IMPLEMENTS
rel_000324,Anti-pattern of Software and Firmware Intermingling,Maintainability,DEPENDS_ON
rel_000325,Anti-skid Feature,Monitor Process,DEPENDS_ON
rel_000326,Anticorruption Layer,Aggregate,RELATES_TO
rel_000327,Anticorruption Layer,Bounded Context,RELATES_TO
rel_000328,Anticorruption Layer,CollaboratorService,RELATES_TO
rel_000329,Anticorruption Layer,Domain Service,RELATES_TO
rel_000330,Anticorruption Layer,Repository,DEPENDS_ON
rel_000331,Apache Spark,Component Framework,IMPLEMENTS
rel_000332,Apache Zookeeper,Autoscaling,RELATES_TO
rel_000333,Application,Chain of Responsibility,RELATES_TO
rel_000334,Application,CreateDocument,CONTAINS
rel_000335,Application,CreateDocument,IMPLEMENTS
rel_000336,Application,HelpHandler,IMPLEMENTS
rel_000337,Application,Service,CONTAINS
rel_000338,Application Architecture,Retail Store System (RSS),CONTAINS
rel_000339,Application Architecture,Technology Architecture,RELATES_TO
rel_000340,Application Class,Document Class,DEPENDS_ON
rel_000341,Application Class,MenuItem,CONTAINS
rel_000342,Application Component,Subsystem,CONTAINS
rel_000343,Application Components,Database Design,RELATES_TO
rel_000344,Application Components,User Interface,RELATES_TO
rel_000345,Application Composition Model,Reuse Model,RELATES_TO
rel_000346,Application Layer,Anticorruption Layer,IMPLEMENTS
rel_000347,Application Layer,Application Services,CONTAINS
rel_000348,Application Layer,Application Services,PART_OF
rel_000349,Application Layer,Core Business Logic,DEPENDS_ON
rel_000350,Application Layer,Domain Layer,DEPENDS_ON
rel_000351,Application Layer,Facade,CONTAINS
rel_000352,Application Layer,Hardware Component,DEPENDS_ON
rel_000353,Application Layer,User Interface Layer,RELATES_TO
rel_000354,Application Program Interface,Fast Healthcare Interoperability Resources,RELATES_TO
rel_000355,Application Programming Interface (API),Abstraction,DEPENDS_ON
rel_000356,Application Server,Database Server,DEPENDS_ON
rel_000357,Application Server,Scalability,IMPLEMENTS
rel_000358,Application Service,Aggregate,DEPENDS_ON
rel_000359,Application Service,Aggregate,RELATES_TO
rel_000360,Application Service,BacklogItem,DEPENDS_ON
rel_000361,Application Service,Command Handler,RELATES_TO
rel_000362,Application Service,Command Object,DEPENDS_ON
rel_000363,Application Service,DTO (Data Transfer Object),DEPENDS_ON
rel_000364,Application Service,Domain Service,DEPENDS_ON
rel_000365,Application Service,Factory,DEPENDS_ON
rel_000366,Application Service,Forum,DEPENDS_ON
rel_000367,Application Service,Repository,DEPENDS_ON
rel_000368,Application Service,Repository Pattern,DEPENDS_ON
rel_000369,Application Service,Transactional,IMPLEMENTS
rel_000370,Application Service,Value Object,DEPENDS_ON
rel_000371,Application Services,Aggregate,CONTAINS
rel_000372,Application Services,Data Transformer,DEPENDS_ON
rel_000373,Application Services,Domain Model,DEPENDS_ON
rel_000374,Application Services,Domain Model,RELATES_TO
rel_000375,Application Services,Domain Services,DEPENDS_ON
rel_000376,Application Services,User Interface,RELATES_TO
rel_000377,Application Silos,Change Control,RELATES_TO
rel_000378,Application Silos,Security,RELATES_TO
rel_000379,ApplicationService,DomainEventPublisher,DEPENDS_ON
rel_000380,ApplicationWindow,Window,IMPLEMENTS
rel_000381,Apply,IEvent,DEPENDS_ON
rel_000382,AquaticCharacter,EnemyCharacter,IMPLEMENTS
rel_000383,ArchUnit,Layered Architecture,IMPLEMENTS
rel_000384,Architected Agile Solutions,Maintainability,RELATES_TO
rel_000385,Architected Agile Solutions,Security,RELATES_TO
rel_000386,Architectural Boundaries,YAGNI,RELATES_TO
rel_000387,Architectural Boundary,Dependency Management,DEPENDS_ON
rel_000388,Architectural Boundary,Humble Object Pattern,RELATES_TO
rel_000389,Architectural Boundary,YAGNI,CONTAINS
rel_000390,Architectural Competence,Maintainability,RELATES_TO
rel_000391,Architectural Competence,Performance,RELATES_TO
rel_000392,Architectural Competence,Reliability,RELATES_TO
rel_000393,Architectural Competence,Scalability,RELATES_TO
rel_000394,Architectural Competence,Security,RELATES_TO
rel_000395,Architectural Debt,Quality Attributes,RELATES_TO
rel_000396,Architectural Decision Records (ADR),Quality Attribute Utility Tree,RELATES_TO
rel_000397,Architectural Decomposition,Component-Based Decomposition,RELATES_TO
rel_000398,Architectural Decomposition,Tactical Forking,RELATES_TO
rel_000399,Architectural Descriptor,VM Cloning,IMPLEMENTS
rel_000400,Architectural Design,Architecturally Significant Requirements (ASRs),RELATES_TO
rel_000401,Architectural Design,Communication and Interaction Among Components,RELATES_TO
rel_000402,Architectural Design,Component,CONTAINS
rel_000403,Architectural Design,Component Interfaces,DEPENDS_ON
rel_000404,Architectural Design,Conceptual Design,RELATES_TO
rel_000405,Architectural Design,Configuration Control,DEPENDS_ON
rel_000406,Architectural Design,Data Design,RELATES_TO
rel_000407,Architectural Design,Database Design,RELATES_TO
rel_000408,Architectural Design,Detailed Design,RELATES_TO
rel_000409,Architectural Design,File System Organization,DEPENDS_ON
rel_000410,Architectural Design,High-level Design,CONTAINS
rel_000411,Architectural Design,Interface Design,RELATES_TO
rel_000412,Architectural Design,Maintainability,DEPENDS_ON
rel_000413,Architectural Design,Overall Architecture Styles,CONTAINS
rel_000414,Architectural Design,Performance,DEPENDS_ON
rel_000415,Architectural Design,Scalability,DEPENDS_ON
rel_000416,Architectural Design,Security,DEPENDS_ON
rel_000417,Architectural Design,Stakeholders' Concerns,RELATES_TO
rel_000418,Architectural Design,System Selection,RELATES_TO
rel_000419,Architectural Design Patterns,Service-Oriented Applications,RELATES_TO
rel_000420,Architectural Diagrams,Deployment Diagrams,CONTAINS
rel_000421,Architectural Diagrams,Network Diagrams,CONTAINS
rel_000422,Architectural Drivers,Architecture Development Method (ADM),DEPENDS_ON
rel_000423,Architectural Drivers,Layered Pattern,DEPENDS_ON
rel_000424,Architectural Drivers,Quality Attributes,DEPENDS_ON
rel_000425,Architectural Guide Rails,Design Policy,RELATES_TO
rel_000426,Architectural Guide Rails,Module Pattern,RELATES_TO
rel_000427,Architectural Mismatch,Performance,DEPENDS_ON
rel_000428,Architectural Mismatch,Performance,RELATES_TO
rel_000429,Architectural Modularity,Agility,RELATES_TO
rel_000430,Architectural Modularity,Architectural Decomposition,RELATES_TO
rel_000431,Architectural Modularity,Extensibility,RELATES_TO
rel_000432,Architectural Modularity,Fault Tolerance,RELATES_TO
rel_000433,Architectural Modularity,Maintainability,RELATES_TO
rel_000434,Architectural Modularity,Scalability,RELATES_TO
rel_000435,Architectural Modularity,Testability,RELATES_TO
rel_000436,Architectural Patterns,Design Patterns,PART_OF
rel_000437,Architectural Patterns,Quality Framework,RELATES_TO
rel_000438,Architectural Patterns for Systems of Systems,Systems as Data Feeds,RELATES_TO
rel_000439,Architectural Quantum,Data Decomposition,RELATES_TO
rel_000440,Architectural Structures,Quality Attributes,RELATES_TO
rel_000441,Architectural Styles and Patterns,Interface Definition,RELATES_TO
rel_000442,Architectural Styles and Patterns,Key Tasks in Architectural Design,DEPENDS_ON
rel_000443,Architectural Styles and Patterns,Major Components,CONTAINS
rel_000444,Architectural Styles and Patterns,System Interfaces,DEPENDS_ON
rel_000445,Architectural Tradeoff Analysis Method,Documentation Quality,RELATES_TO
rel_000446,Architectural Tradeoff Analysis Method,High Availability,RELATES_TO
rel_000447,Architectural Tradeoff Analysis Method,Maintainability,RELATES_TO
rel_000448,Architectural Tradeoff Analysis Method,Performance,RELATES_TO
rel_000449,Architectural Tradeoff Analysis Method,Reliability,RELATES_TO
rel_000450,Architectural Tradeoff Analysis Method,Scalability,RELATES_TO
rel_000451,Architectural Tradeoff Analysis Method,Security,RELATES_TO
rel_000452,Architecturally Significant Requirements,Architecture Evaluation,RELATES_TO
rel_000453,Architecturally Significant Requirements,Architecture in the Large,DEPENDS_ON
rel_000454,Architecturally Significant Things,Quality Attributes,RELATES_TO
rel_000455,Architecture,Requirement,CONTAINS
rel_000456,Architecture Debt,Anti-Pattern,RELATES_TO
rel_000457,Architecture Debt,Refactoring,RELATES_TO
rel_000458,Architecture Decision Record (ADR),Microservices Architecture,PART_OF
rel_000459,Architecture Decision Record (ADR),Tribal Knowledge,CONTAINS
rel_000460,Architecture Decision Records,Evaluation Workshop,RELATES_TO
rel_000461,Architecture Decision Records,Event Sourcing,DEPENDS_ON
rel_000462,Architecture Decision Records,Layers Pattern,PART_OF
rel_000463,Architecture Decision Records (ADRs),Performance,RELATES_TO
rel_000464,Architecture Decision Records (ADRs),Scalability,RELATES_TO
rel_000465,Architecture Decisions,Design Principles,DEPENDS_ON
rel_000466,Architecture Description,Architecture Patterns,IMPLEMENTS
rel_000467,Architecture Description,Software Architecture,DEPENDS_ON
rel_000468,Architecture Description Language (ADL),Abstraction,IMPLEMENTS
rel_000469,Architecture Description Language (ADL),Analysis,IMPLEMENTS
rel_000470,Architecture Description Language (ADL),Composition,IMPLEMENTS
rel_000471,Architecture Description Language (ADL),Configuration,IMPLEMENTS
rel_000472,Architecture Description Language (ADL),Heterogeneity,IMPLEMENTS
rel_000473,Architecture Description Language (ADL),Quality Attributes,RELATES_TO
