id,name,label
node_000090,Abstraction via Inheritance and Polymorphism,DesignPattern
node_000091,Abstraction/Model,CodeStructure
node_000092,Abstractness,DesignPrinciple
node_000093,Abstractness,QualityAttribute
node_000094,Abstractness Metric,CodeStructure
node_000095,Accept Method,CodeStructure
node_000096,Acceptance Test,CodeStructure
node_000097,Acceptance Test Driven Development,DDDConcept
node_000098,Acceptance Test-Driven Development (ATDD),DesignPattern
node_000099,Acceptance Testing,CodeStructure
node_000100,Acceptance Testing,DesignPattern
node_000101,Acceptance Testing,DesignPrinciple
node_000102,Acceptance Testing,QualityAttribute
node_000103,Access Control,DDDConcept
node_000104,Access Control,DesignPattern
node_000105,Access Control,QualityAttribute
node_000106,Access Control Proxy,DesignPattern
node_000107,Access Control System,DesignPattern
node_000108,Access Controls,QualityAttribute
node_000109,Access Limitation,QualityAttribute
node_000110,Access Logging,CodeStructure
node_000111,Access Modifiers,CodeStructure
node_000112,Access Permissions,QualityAttribute
node_000113,Access Rights,QualityAttribute
node_000114,Access Rights Management,CodeStructure
node_000115,Access Tables,QualityAttribute
node_000116,Access Token,QualityAttribute
node_000117,Access control,QualityAttribute
node_000118,Access-Method-Agnostic API,CodeStructure
node_000119,AccessService,CodeStructure
node_000120,Accessor Method,CodeStructure
node_000121,Accessor Operation,DesignPattern
node_000122,Accessors,CodeStructure
node_000123,Accidental Complexity,QualityAttribute
node_000124,Account,CodeStructure
node_000125,Account,DDDConcept
node_000126,Account Class,CodeStructure
node_000127,Account Manager,CodeStructure
node_000128,AccountService Class,CodeStructure
node_000129,Accurate Garbage Collection (GC),QualityAttribute
node_000130,Action,CodeStructure
node_000131,Action,DDDConcept
node_000132,Action Bar,DesignPattern
node_000133,Action Expression,CodeStructure
node_000134,Action Expression,DesignPattern
node_000135,Action Module,CodeStructure
node_000136,Action hierarchy,CodeStructure
node_000137,Action-Conforming Functions,DesignPrinciple
node_000138,Action-Contradictive Functions,DesignPrinciple
node_000139,Action<T>,CodeStructure
node_000140,ActionListener,CodeStructure
node_000141,ActionListener,DesignPattern
node_000142,Activation Mechanism,DesignPattern
node_000143,Active Class,CodeStructure
node_000144,Active Design,ArchPattern
node_000145,Active Filter,DesignPattern
node_000146,Active Record,DesignPattern
node_000147,Active Redundancy,ArchPattern
node_000148,Active Reviews for Intermediate Designs (ARID),DesignPattern
node_000149,Active User Involvement,DesignPrinciple
node_000150,Active/Hot Spare,QualityAttribute
node_000151,ActiveX Components,CodeStructure
node_000152,Activity Diagram,CodeStructure
node_000153,Activity Diagram,DesignPattern
node_000154,Activity Diagrams,DesignPattern
node_000155,Activity Module,DDDConcept
node_000156,Actor,CodeStructure
node_000157,Actor Authentication,QualityAttribute
node_000158,Actor Identification,QualityAttribute
node_000159,Actor Model,ArchPattern
node_000160,Actor/Actions Approach,ArchPattern
node_000161,Actors,CodeStructure
node_000162,Acyclic Dependencies Principle,DesignPrinciple
node_000163,Acyclic Dependencies Principle (ADP),DesignPrinciple
node_000164,Acyclic Dependency,DesignPrinciple
node_000165,Acyclic Dependency Graph,CodeStructure
node_000166,Adaptability,QualityAttribute
node_000167,Adaptation Principle,DesignPrinciple
node_000168,Adaptee,CodeStructure
node_000169,Adapter,ArchPattern
node_000170,Adapter,CodeStructure
node_000171,Adapter,DesignPattern
node_000172,Adapter Design Pattern,DesignPattern
node_000173,Adapter Pattern,DesignPattern
node_000174,Adaptive Compilation,DesignPattern
node_000175,Adaptive Maintenance,QualityAttribute
node_000176,Adaptor,DesignPattern
node_000177,Adaptor Component,DesignPattern
node_000178,Adaptor Services,CodeStructure
node_000179,Add Category Request,CodeStructure
node_000180,AddInstruction,CodeStructure
node_000181,AddInstruction,DesignPattern
node_000182,AddItemWindow,DesignPattern
node_000183,AddOrder,DesignPattern
node_000184,AddOrder(),CodeStructure
node_000185,Adding New Feature,DesignPattern
node_000186,Admin Domain,CodeStructure
node_000187,AdminController,CodeStructure
node_000188,Administrative Interface,CodeStructure
node_000189,Administrative Reporting,CodeStructure
node_000190,Administrative Scripts,CodeStructure
node_000191,Advanced C++ Programming Styles and Idioms,DesignPattern
node_000192,Advanced Programming in the UNIX Environment,CodeStructure
node_000193,Advanced Programming in the UNIX® Environment,CodeStructure
node_000194,AdvancedComputerPartsFactory,CodeStructure
node_000195,AdvancedComputerPartsFactory,DesignPattern
node_000196,AdvancedComputerStore,CodeStructure
node_000197,AdvancedProductList,CodeStructure
node_000198,AdvancedStoreProductIterator,CodeStructure
node_000199,Advisor Class,CodeStructure
node_000200,Advisor Interface,CodeStructure
node_000201,AerialCharacter,CodeStructure
node_000202,AerialCharacter,DDDConcept
node_000203,AerialEnemyCharacter,CodeStructure
node_000204,Aesthetic Treatment,DesignPattern
node_000205,Afferent Coupling,QualityAttribute
node_000206,Affordance,DesignPrinciple
node_000207,Agent,DDDConcept
node_000208,Agent Component,CodeStructure
node_000209,Aggregate,DDDConcept
node_000210,Aggregate,DesignPattern
node_000211,Aggregate Boundary,DDDConcept
node_000212,Aggregate Command,DesignPattern
node_000213,Aggregate Interface,CodeStructure
node_000214,Aggregate Pattern,DDDConcept
node_000215,Aggregate Read Bandwidth,QualityAttribute
node_000216,Aggregate Repository,DDDConcept
node_000217,Aggregate Root,DDDConcept
node_000218,Aggregate Root Entity,DDDConcept
node_000219,Aggregation,DDDConcept
node_000220,Aggregation Relationship,DDDConcept
node_000221,Aggregation Relationship,DesignPrinciple
node_000222,Agile,DesignPrinciple
node_000223,Agile Approach,DesignPrinciple
node_000224,Agile Development,ArchPattern
node_000225,Agile Development,DDDConcept
node_000226,Agile Development,DesignPrinciple
node_000227,Agile Development Methodologies,CodeStructure
node_000228,Agile Development Methodologies,DesignPrinciple
node_000229,Agile Development Model,DesignPrinciple
node_000230,Agile Methodologies,ArchPattern
node_000231,Agile Methodologies,CodeStructure
node_000232,Agile Methodology,ArchPattern
node_000233,Agile Methodology,DesignPrinciple
node_000234,Agile Methods,ArchPattern
node_000235,Agile Methods,CodeStructure
node_000236,Agile Methods,DesignPrinciple
node_000237,Agile Modeling Principles,DesignPrinciple
node_000238,Agile Processes,ArchPattern
node_000239,Agile Project Framework,ArchPattern
node_000240,Agile Project Management Context,DDDConcept
node_000241,Agile Software Development,DesignPrinciple
node_000242,Agile Strategy,ArchPattern
node_000243,Agile Unified Process,CodeStructure
node_000244,Agile approach,DesignPrinciple
node_000245,Agility,QualityAttribute
node_000246,Agnostic High-Level Policy,CodeStructure
node_000247,Ajax Polling,DesignPattern
node_000248,Album Cover Viewer,CodeStructure
node_000249,Algebraic Specifications,CodeStructure
node_000250,Algorithm,CodeStructure
node_000251,Algorithm Decomposition,DesignPrinciple
node_000252,Algorithm Selection,DesignPrinciple
node_000253,Algorithmic Approach,DesignPattern
node_000254,Algorithmic Approach,DesignPrinciple
node_000255,Algorithmic Error Detection,DesignPattern
node_000256,Alias Expansion,DesignPattern
node_000257,Allowed to Use Relation,CodeStructure
node_000258,AlternatingDinerMenuIterator,DesignPattern
node_000259,AlternationExpression,CodeStructure
node_000260,AlternationExpression,DesignPattern
node_000261,Ambulance Pattern,DesignPattern
node_000262,AmericanCitizenTaxHandler,CodeStructure
node_000263,AmericanLawyer,DDDConcept
node_000264,AmericanProfessor,DDDConcept
node_000265,AmericanTaxPayer,CodeStructure
node_000266,Amplifier,CodeStructure
node_000267,AnalogClock,CodeStructure
node_000268,Analogic Model,DesignPattern
node_000269,Analysis,DesignPrinciple
node_000270,Analysis Class Diagram,CodeStructure
node_000271,Analysis Patterns,DesignPattern
node_000272,Analytic Testing,DesignPattern
node_000273,AndExp,CodeStructure
node_000274,Anemic Domain Model,DDDConcept
node_000275,Anemic Domain Model,DesignPattern
node_000276,Anemometer,CodeStructure
node_000277,AngelListener,CodeStructure
node_000278,Anonymous Function,DesignPattern
node_000279,Anthology Saga,DesignPattern
node_000280,Anthology Saga Pattern,DesignPattern
node_000281,Anthology Saga(aec) Pattern,DesignPattern
node_000282,Anti-Corruption Layer,DDDConcept
node_000283,Anti-Pattern,DesignPattern
node_000284,Anti-corruption Layer,DDDConcept
node_000285,Anti-pattern of Software and Firmware Intermingling,DesignPattern
node_000286,Anti-skid Feature,DesignPattern
node_000287,Anticorruption Layer,ArchPattern
node_000288,Anticorruption Layer,DDDConcept
node_000289,Anticorruption Layer,DesignPattern
node_000290,Anticorruption Layer (ACL),DesignPattern
node_000291,Antipatterns,DesignPattern
node_000292,Apache Spark,ArchPattern
node_000293,Apache Struts,DesignPattern
node_000294,Apache Zookeeper,CodeStructure
node_000295,Append-Only Storage,ArchPattern
node_000296,Application,CodeStructure
node_000297,Application Architecture,ArchPattern
node_000298,Application Availability,QualityAttribute
node_000299,Application Class,CodeStructure
node_000300,Application Component,CodeStructure
node_000301,Application Components,CodeStructure
node_000302,Application Composition Model,ArchPattern
node_000303,Application Frameworks,CodeStructure
node_000304,Application Layer,CodeStructure
node_000305,Application Program Interface,CodeStructure
node_000306,Application Programming Interface (API),CodeStructure
node_000307,Application Protocol,CodeStructure
node_000308,Application Server,ArchPattern
node_000309,Application Server,CodeStructure
node_000310,Application Service,ArchPattern
node_000311,Application Service,CodeStructure
node_000312,Application Service,DDDConcept
node_000313,Application Services,CodeStructure
node_000314,Application Services,DDDConcept
node_000315,Application Silos,ArchPattern
node_000316,Application Software Design,CodeStructure
node_000317,Application Update Service (AUS),CodeStructure
node_000318,Application Window,CodeStructure
node_000319,Application-level Protection,CodeStructure
node_000320,ApplicationService,CodeStructure
node_000321,ApplicationWindow,CodeStructure
node_000322,Apply,CodeStructure
node_000323,Apply Method,CodeStructure
node_000324,Approval Procedure,CodeStructure
node_000325,Approved Systems,CodeStructure
node_000326,AquaticCharacter,CodeStructure
node_000327,AquaticCharacter,DDDConcept
node_000328,ArchUnit,DesignPattern
node_000329,Architected Agile Solutions,ArchPattern
node_000330,Architectural Boundaries,ArchPattern
node_000331,Architectural Boundary,ArchPattern
node_000332,Architectural Competence,ArchPattern
node_000333,Architectural Concepts,ArchPattern
node_000334,Architectural Debt,ArchPattern
node_000335,Architectural Decision Records,CodeStructure
node_000336,Architectural Decision Records (ADR),ArchPattern
node_000337,Architectural Decision Records (ADRs),CodeStructure
node_000338,Architectural Decisions,DesignPrinciple
node_000339,Architectural Decomposition,ArchPattern
node_000340,Architectural Descriptor,ArchPattern
node_000341,Architectural Design,ArchPattern
node_000342,Architectural Design,DesignPrinciple
node_000343,Architectural Design Patterns,ArchPattern
node_000344,Architectural Design Stage,ArchPattern
node_000345,Architectural Design Techniques,ArchPattern
node_000346,Architectural Diagrams,ArchPattern
node_000347,Architectural Drivers,ArchPattern
node_000348,Architectural Drivers,DDDConcept
node_000349,Architectural Drivers,QualityAttribute
node_000350,Architectural Guide Rails,ArchPattern
node_000351,Architectural Migration,ArchPattern
node_000352,Architectural Mismatch,QualityAttribute
node_000353,Architectural Models,CodeStructure
node_000354,Architectural Modularity,ArchPattern
node_000355,Architectural Patterns,ArchPattern
node_000356,Architectural Patterns for Systems of Systems,ArchPattern
node_000357,Architectural Quantum,ArchPattern
node_000358,Architectural Structures,ArchPattern
node_000359,Architectural Styles,ArchPattern
node_000360,Architectural Styles and Patterns,ArchPattern
node_000361,Architectural Tradeoff Analysis Method,ArchPattern
node_000362,Architecturally Significant Requirements,QualityAttribute
node_000363,Architecturally Significant Requirements (ASRs),QualityAttribute
node_000364,Architecturally Significant Things,ArchPattern
node_000365,Architecture,DDDConcept
node_000366,Architecture Characteristics,QualityAttribute
node_000367,Architecture Debt,DesignPrinciple
node_000368,Architecture Debt,QualityAttribute
node_000369,Architecture Decision Record (ADR),CodeStructure
node_000370,Architecture Decision Records,CodeStructure
node_000371,Architecture Decision Records,DesignPrinciple
node_000372,Architecture Decision Records (ADRs),CodeStructure
node_000373,Architecture Decisions,DesignPrinciple
node_000374,Architecture Description,CodeStructure
node_000375,Architecture Description Language (ADL),ArchPattern
node_000376,Architecture Description Language (ADL),CodeStructure
node_000377,Architecture Description Languages (ADL),ArchPattern
node_000378,Architecture Description Languages (ADLs),ArchPattern
node_000379,Architecture Description Languages (ADLs),CodeStructure
node_000380,Architecture Design Studios,ArchPattern
node_000381,Architecture Development Method (ADM),ArchPattern
node_000382,Architecture Evaluation,ArchPattern
node_000383,Architecture Evaluation,QualityAttribute
node_000384,Architecture Evaluation (ATAM),ArchPattern
node_000385,Architecture Maturity,QualityAttribute
node_000386,Architecture Partitioning,DesignPrinciple
node_000387,Architecture Patterns,ArchPattern
node_000388,Architecture Quantum,ArchPattern
node_000389,Architecture Reconstruction Guidelines,ArchPattern
node_000390,Architecture Review Board,CodeStructure
node_000391,Architecture Sinkhole Anti-Pattern,DesignPattern
node_000392,Architecture Story,CodeStructure
node_000393,Architecture Styles and Types,ArchPattern
node_000394,Architecture Trade-off Analysis,ArchPattern
node_000395,Architecture Trade-off Analysis Method (ATAM),DesignPattern
node_000396,Architecture Trade-off Analysis Method (ATAM),DesignPrinciple
node_000397,Architecture Viewpoints,CodeStructure
node_000398,Architecture as a Discipline,ArchPattern
node_000399,Architecture in the Large,ArchPattern
node_000400,Architecture in the Small,ArchPattern
node_000401,Architecture-centric Software Project Management,ArchPattern
node_000402,Arithmetic Expansion,DesignPattern
node_000403,Array,CodeStructure
node_000404,ArrayCompositor,CodeStructure
node_000405,ArrayCompositor,DesignPattern
node_000406,ArrayList,CodeStructure
node_000407,Arrays.sort(),CodeStructure
node_000408,ArrowHead,CodeStructure
node_000409,Artifact,CodeStructure
node_000410,Artist,CodeStructure
node_000411,Artist,DesignPattern
node_000412,Artist API,CodeStructure
node_000413,Artist Layer,ArchPattern
node_000414,Artist Layer,CodeStructure
node_000415,Aspect-Oriented Design,ArchPattern
node_000416,Aspect-Oriented Programming (AOP),DesignPattern
node_000417,Aspect-Oriented Software Engineering,ArchPattern
node_000418,Aspects,CodeStructure
node_000419,Assembly Code Optimization,DesignPattern
node_000420,Assertion,DesignPrinciple
node_000421,Assertion Checking,DesignPattern
node_000422,AssessmentOutput,CodeStructure
node_000423,AssessmentPlugin,CodeStructure
node_000424,Asset,QualityAttribute
node_000425,AssignmentNode,CodeStructure
node_000426,Association,DDDConcept
node_000427,Association Class,DesignPattern
node_000428,Association Relationships,DDDConcept
node_000429,Associative Array,CodeStructure
node_000430,Assurance Case,DDDConcept
node_000431,"Assurance, Security and Safety",QualityAttribute
node_000432,Asterisk Abstract Channel Interface,CodeStructure
node_000433,Asterisk Configuration,CodeStructure
node_000434,Asterisk Core Application,CodeStructure
node_000435,Asterisk Dialplan,CodeStructure
node_000436,Asymmetric Encryption,QualityAttribute
node_000437,Asymmetric Key Encryption,DesignPattern
node_000438,Atomic Distributed Transactions,ArchPattern
node_000439,Atomic Unit Test,DesignPattern
node_000440,Atomicity,DesignPrinciple
node_000441,Atoms,DesignPattern
node_000442,Attack Detection,CodeStructure
node_000443,"Attack Monitoring, Detection, and Recovery",QualityAttribute
node_000444,Attack Resistance,QualityAttribute
node_000445,Attainability,DesignPrinciple
node_000446,Attribute,DDDConcept
node_000447,Attribute-Driven Design (ADD),ArchPattern
node_000448,Attribute-Driven Design (ADD),DesignPrinciple
node_000449,Auctioneer Capture,CodeStructure
node_000450,Audit Log,CodeStructure
node_000451,Audit Log,QualityAttribute
node_000452,Audit Service,CodeStructure
node_000453,Audit Table,CodeStructure
node_000454,Audit Tactic,DesignPattern
node_000455,Audit Trail,CodeStructure
node_000456,Auditability,QualityAttribute
node_000457,Authenticated User Role,DDDConcept
node_000458,Authentication,CodeStructure
node_000459,Authentication,QualityAttribute
node_000460,Authentication Flow,DesignPattern
node_000461,Authentication Interface,CodeStructure
node_000462,Authentication Mechanism,CodeStructure
node_000463,Authentication Requirements,QualityAttribute
node_000464,Authentication Service,DDDConcept
node_000465,Authentication and Authorization,DesignPattern
node_000466,Authentication and Authorization,QualityAttribute
node_000467,Authentication and Encryption,QualityAttribute
node_000468,Authentication/Authorization Service,CodeStructure
node_000469,Authentication/Identity Provider,CodeStructure
node_000470,AuthenticationService,CodeStructure
node_000471,Author,DDDConcept
node_000472,Authorization,QualityAttribute
node_000473,Authorization Mechanism,CodeStructure
node_000474,AutoNumber,DesignPattern
node_000475,Autoconf,DesignPattern
node_000476,Automatability,QualityAttribute
node_000477,Automated Build Process,CodeStructure
node_000478,Automated Deployment,QualityAttribute
node_000479,Automated Interaction Layer,DesignPattern
node_000480,Automated Malware Checks,DesignPattern
node_000481,Automated Refactoring Tools,CodeStructure
node_000482,Automated Refactorings,DesignPattern
node_000483,Automated Testing,CodeStructure
node_000484,Automated Testing,DesignPattern
node_000485,Automated Testing,QualityAttribute
node_000486,Automated Testing Framework,CodeStructure
node_000487,Automated Tests,CodeStructure
node_000488,Automated Tests,QualityAttribute
node_000489,Automated Unit Testing,DesignPattern
node_000490,Automatic Translation Mechanism,QualityAttribute
node_000491,Autonomous Services,ArchPattern
node_000492,Autoscaler,CodeStructure
node_000493,Autoscaling,QualityAttribute
node_000494,Availability,QualityAttribute
node_000495,Availability Quality Attribute,QualityAttribute
node_000496,AvatarRetrieved,DesignPattern
node_000497,AxeBehavior,CodeStructure
node_000498,Axes,CodeStructure
node_000499,BASE Model,ArchPattern
node_000500,BASE Transactions,DesignPrinciple
node_000501,BASE Transactions,QualityAttribute
node_000502,BASE consistency model,QualityAttribute
node_000503,BCE,ArchPattern
node_000504,BINARY_ADD,DesignPattern
node_000505,BINARY_ADD Opcode,CodeStructure
node_000506,BINARY_ADD opcode,DesignPattern
node_000507,BLOB Storage,CodeStructure
node_000508,BPMObserver,CodeStructure
node_000509,BPMObserver,DesignPattern
node_000510,BRIDGE,DesignPattern
node_000511,BSD Sockets API,CodeStructure
node_000512,BSONSerializer,CodeStructure
node_000513,BSP (Board Support Package),CodeStructure
node_000514,BSP (Board Support Package),DDDConcept
node_000515,BSP Layer,CodeStructure
node_000516,BTL Framework,ArchPattern
node_000517,BTree,CodeStructure
node_000518,BUILDER,DesignPattern
node_000519,BY Interface,CodeStructure
node_000520,Back End,CodeStructure
node_000521,Backend API,CodeStructure
node_000522,Backend Layer,ArchPattern
node_000523,Backends for Frontends (BFF),DesignPattern
node_000524,BacklogItem,CodeStructure
node_000525,BacklogItem,DDDConcept
node_000526,BacklogItem Root Entity,DDDConcept
node_000527,BacklogItemCommitted,CodeStructure
node_000528,BacklogItemCommitted,DDDConcept
node_000529,BacklogItemDiscussion,DDDConcept
node_000530,BacklogItemPresentationModel,CodeStructure
node_000531,BacklogItemRepository,CodeStructure
node_000532,BacklogItemStatusType,DDDConcept
node_000533,Backspace Method,DesignPattern
node_000534,Backup Authentication System,DesignPattern
node_000535,Backup CPU(s),ArchPattern
node_000536,Backup Sensor,CodeStructure
node_000537,Backup Strategy,DesignPattern
node_000538,Backup and Recovery,ArchPattern
node_000539,Backup and Recovery,DesignPrinciple
node_000540,Backward Compatibility,DesignPrinciple
node_000541,Backwards Compatibility,QualityAttribute
node_000542,Bad Smells in Code,DesignPrinciple
node_000543,Barometer,CodeStructure
node_000544,Base Code,CodeStructure
node_000545,Baseline,CodeStructure
node_000546,Bash Component Architecture,ArchPattern
node_000547,Bash Parser,CodeStructure
node_000548,Basic Compositor Interface,CodeStructure
node_000549,Basic Data Types,CodeStructure
node_000550,Basic Glyph Interface,CodeStructure
node_000551,Batch Component,CodeStructure
node_000552,Batch Processes,CodeStructure
node_000553,Batch Processing,ArchPattern
node_000554,Batch Processing,CodeStructure
node_000555,Batch Processing,DesignPattern
node_000556,Batch Sequential Architecture,ArchPattern
node_000557,Batch Views,DDDConcept
node_000558,Batteries-Included,QualityAttribute
node_000559,Beat Observer,CodeStructure
node_000560,BeatController,CodeStructure
node_000561,BeatModel,CodeStructure
node_000562,BeatModelInterface,CodeStructure
node_000563,BeatObserver,CodeStructure
node_000564,BeatObserver,DesignPattern
node_000565,Behavior Object,CodeStructure
node_000566,Behavior Specification,CodeStructure
node_000567,Behavior-Rich Interface,DesignPrinciple
node_000568,Behavioral Design,DesignPattern
node_000569,Behavioral Design Description,DesignPattern
node_000570,Behavioral Design Descriptions,CodeStructure
node_000571,Behavioral Design Patterns,DesignPattern
node_000572,Behavioral Diagrams,ArchPattern
node_000573,Behavioral Modeling,ArchPattern
node_000574,Behavioral Models,DesignPattern
node_000575,Behavioral Pattern,DesignPattern
node_000576,Behavioral Patterns,DesignPattern
node_000577,Behavioral Perspective,DDDConcept
node_000578,Berkeley DB 2.0 Architecture,ArchPattern
node_000579,Berkeley DB 5.0.21 Architecture,ArchPattern
node_000580,Bespoke Service Provider,DDDConcept
node_000581,Beverage,CodeStructure
node_000582,Beverage Class,CodeStructure
node_000583,BidCapture,CodeStructure
node_000584,BidTracker,CodeStructure
node_000585,Bidirectional Association,CodeStructure
node_000586,Bidirectional Data Link,QualityAttribute
node_000587,Big Ball of Mud,ArchPattern
node_000588,Big Ball of Mud,DesignPattern
node_000589,Big Ball of Mud,QualityAttribute
node_000590,Big Ball of Mud Pattern,DesignPattern
node_000591,Big Design Up Front,DesignPrinciple
node_000592,BigTable Column Family Store,ArchPattern
node_000593,Bind Parameter,DesignPattern
node_000594,Binding,CodeStructure
node_000595,Biometric Authentication,QualityAttribute
node_000596,Bird,CodeStructure
node_000597,BitBake,CodeStructure
node_000598,BitBake DataSmart Copy-on-Write Data Storage,QualityAttribute
node_000599,BitBake IPC,CodeStructure
node_000600,BitBake Parser,ArchPattern
node_000601,BitBake Server,CodeStructure
node_000602,BitBake User Interface,CodeStructure
node_000603,Black Box System,CodeStructure
node_000604,Black-box Reuse,DesignPrinciple
node_000605,Blackboard,ArchPattern
node_000606,Blackboard Architectural Pattern,ArchPattern
node_000607,Blackboard Architecture,ArchPattern
node_000608,Blackboard Model,ArchPattern
node_000609,Blackboard Pattern,ArchPattern
node_000610,Blob,DDDConcept
node_000611,Blob anti-pattern,DesignPattern
node_000612,Block Layer,CodeStructure
node_000613,Block Pool Abstraction,ArchPattern
node_000614,Block Scanner,DesignPattern
node_000615,BlockFile Structure,CodeStructure
node_000616,BlockFile System,CodeStructure
node_000617,Blue/Green Deployment,ArchPattern
node_000618,Blue/Green Deployment,DesignPattern
node_000619,Body Filter Module,DesignPattern
node_000620,BombedMazeFactory,CodeStructure
node_000621,BombedMazeGame,CodeStructure
node_000622,BombedWall,CodeStructure
node_000623,Book,CodeStructure
node_000624,Booking,CodeStructure
node_000625,Boolean Constant Module,DesignPattern
node_000626,BooleanExp,CodeStructure
node_000627,BooleanExpressionSystem,CodeStructure
node_000628,Boot Libraries,CodeStructure
node_000629,Border,DesignPattern
node_000630,BorderDecorator,DesignPattern
node_000631,BorrowedCharacter,CodeStructure
node_000632,BorrowedCharacter Interface,CodeStructure
node_000633,Bottom Bar Navigation,DesignPattern
node_000634,Bottom Up Design,ArchPattern
node_000635,Bottom-Up Approach,DesignPattern
node_000636,Bottom-Up Development,ArchPattern
node_000637,Bottom-Up Strategy,ArchPattern
node_000638,Bound Execution Times,DesignPrinciple
node_000639,Bound Queue Sizes,QualityAttribute
node_000640,Boundary Class,CodeStructure
node_000641,Boundary Crossing,CodeStructure
node_000642,Boundary Testing,DesignPrinciple
node_000643,Boundary Value Analysis,DesignPattern
node_000644,Bounded Context,DDDConcept
node_000645,Bounds,CodeStructure
node_000646,BowAndArrowBehavior,CodeStructure
node_000647,Box-and-Line Diagram,DesignPattern
node_000648,Brace Expansion,DesignPattern
node_000649,Branch Node,CodeStructure
node_000650,BranchTrueInstruction,CodeStructure
node_000651,Branching,DDDConcept
node_000652,Branching,DesignPattern
node_000653,Branding,DesignPattern
node_000654,Breakpoint,CodeStructure
node_000655,Bridge,DesignPattern
node_000656,Bridge Pattern,DesignPattern
node_000657,Broadcast Capabilities,ArchPattern
node_000658,Broker,ArchPattern
node_000659,Broker Architectural Pattern,ArchPattern
node_000660,Broker Architecture,ArchPattern
node_000661,Broker Pattern,DesignPattern
node_000662,Broker Topology,ArchPattern
node_000663,Broker-style Event-Driven Architecture,ArchPattern
node_000664,Brownfield System,ArchPattern
node_000665,Browser Automation Tool,ArchPattern
node_000666,Btree Access Method,CodeStructure
node_000667,Btree Algorithm,DesignPattern
node_000668,Buffer Class,CodeStructure
